ticker,close_price,st73_value,st72_value,DMA_200,DMA_10,datee
TARIL,391.9,446.4,429.5,484.9,442.64,20251109
JAINREC,385.85,323.4,347.9,nan,387.43,20251109
GALLANTT,552.85,601.6,575.7,503.5,535.5,20251109
NCC,195.31,214.7,208.7,213.81,207.97,20251109
PRIVISCL,3388.0,2978.1,3100.5,2177.12,3000.97,20251109
LEMONTREE,162.71,160.1,170.1,147.34,166.24,20251109
ACE,1022.0,1116.8,1089.4,1162.91,1089.95,20251109
AAVAS,1574.1,1695.2,1656.0,1780.69,1646.99,20251109
INDGN,523.1,556.2,543.5,568.94,539.56,20251109
BLS,313.95,336.2,302.4,371.23,315.76,20251109
WAAREERTL,1180.6,1102.3,1170.6,nan,1243.81,20251109
TEGA,1906.2,1882.1,1970.7,1648.33,1918.14,20251109
CYIENT,1112.7,1210.3,1180.4,1246.85,1167.7,20251109
EMBDL,86.72,96.9,93.9,110.37,92.31,20251109
NSLNISP,43.47,42.9,46.7,39.42,44.71,20251109
GODREJAGRO,589.55,657.7,639.7,737.24,649.05,20251109
OLECTRA,1515.6,1406.0,1447.9,1326.42,1512.07,20251109
VTL,438.3,402.3,415.9,441.11,437.78,20251109
MGL,1215.6,1292.4,1269.3,1327.14,1267.08,20251109
ELECON,537.75,583.6,569.4,559.01,557.73,20251109
JKTYRE,458.5,410.7,424.9,338.66,438.67,20251109
SBFC,113.97,106.7,110.8,102.05,114.97,20251109
INDIACEM,378.45,375.5,407.5,334.35,392.51,20251109
GRAVITA,1710.8,1563.3,1635.9,1776.88,1697.51,20251109
WELSPUNLIV,129.48,119.6,123.8,128.72,129.83,20251109
SCI,266.45,231.4,244.4,196.86,260.77,20251109
HOMEFIRST,1132.0,1273.2,1224.9,1182.12,1194.64,20251109
BLACKBUCK,668.35,620.2,722.3,492.16,669.15,20251109
IEX,138.96,137.4,145.5,167.41,141.84,20251109
JPPOWER,17.61,18.6,17.3,17.0,17.9,20251109
ANURAS,1082.9,1148.1,1121.8,962.1,1084.73,20251109
ZENTEC,1358.8,1468.9,1423.4,1571.29,1374.01,20251109
TDPOWERSYS,780.6,707.0,744.4,480.88,744.98,20251109
GRAPHITE,577.25,568.9,622.1,510.27,605.52,20251109
INGERRAND,3760.1,4014.5,3736.8,3746.24,3849.47,20251109
FINCABLES,766.55,821.0,802.6,884.79,785.63,20251109
TITAGARH,843.3,913.4,889.5,858.09,884.52,20251109
PVRINOX,1153.2,1130.5,1217.3,1029.96,1186.93,20251109
