ticker,st73_signal,st73_value,st72_signal,st72_value,close_price,DMA_200,DMA10,10DMA_change
MUTHOOTFIN,0,3628.0,0,3697.7,3847.0,2737.4,3780.43,0
PIDILITIND,0,1520.0,0,1497.2,1473.1,1483.31,1470.67,0
IRFC,0,118.8,0,116.7,112.01,126.4,113.37,0
BANKBARODA,0,280.8,0,294.8,282.85,245.51,286.64,0
BRITANNIA,0,5766.7,0,5853.0,6066.0,5576.02,5908.85,0
TRENT,0,4285.9,0,4189.0,4108.7,5113.37,4112.19,0
CHOLAFIN,0,1637.3,0,1655.1,1715.4,1573.85,1717.87,0
TMCV,0,339.2,0,353.5,387.35,nan,369.92,0
TECHM,0,1505.3,0,1531.6,1578.2,1481.55,1567.92,0
TATACAP,0,315.2,0,317.3,326.2,nan,324.41,1
AMBUJACEM,0,558.5,0,527.9,548.7,557.49,538.42,0
PNB,0,125.8,0,123.0,117.03,106.37,118.32,0
CANBK,0,142.8,0,152.3,147.17,112.45,146.56,0
TORNTPHARM,0,3615.8,0,3685.4,3765.1,3434.7,3775.9,0
MOTHERSON,0,112.4,0,115.2,119.57,99.2,118.05,0
CUMMINSIND,0,4309.0,0,4396.8,4494.3,3571.49,4509.04,0
BAJAJHLDNG,0,11849.0,0,11554.0,11068.0,12670.26,11066.8,1
IDEA,0,10.1,0,10.6,11.25,7.91,10.93,0
TATAPOWER,0,396.1,0,388.7,379.85,387.16,380.65,0
CIPLA,0,1554.1,0,1534.2,1499.6,1506.54,1506.62,0
GODREJCP,0,1108.6,0,1132.8,1182.4,1179.02,1142.04,0
ADANIENSOL,0,945.4,0,968.1,994.3,874.06,985.93,0
HEROMOTOCO,0,6295.9,0,6172.8,5946.5,4679.38,6086.1,0
UNIONBANK,0,146.6,0,157.1,153.2,135.24,151.41,0
TATACONSUM,0,1114.8,0,1137.6,1169.9,1099.1,1150.26,0
SIEMENS,0,3381.5,0,3290.8,3161.4,3117.27,3220.55,0
ABB,0,4983.4,0,5074.5,5242.0,5400.17,5182.7,0
PFC,0,358.3,0,351.6,336.15,394.0,344.96,0
POLYCAB,0,7613.7,0,7433.6,7361.5,6562.26,7238.65,0
HDFCAMC,0,2678.5,0,2569.1,2583.7,2514.14,2601.96,0
GAIL,0,178.2,0,174.3,168.32,179.33,169.14,0
GMRAIRPORT,0,106.7,0,98.1,103.52,88.56,102.05,0
SOLARINDS,0,12895.5,0,12605.4,11918.0,13825.55,12495.1,0
INDUSTOWER,0,383.1,0,393.2,408.15,374.66,407.58,0
LODHA,0,1150.3,0,1122.6,1075.4,1249.86,1088.33,0
IDBI,0,94.3,0,93.8,99.53,89.99,97.06,0
BOSCHLTD,0,37988.2,0,37385.5,36230.0,34300.66,36634.5,0
DRREDDY,0,1224.3,0,1242.5,1276.9,1233.45,1270.73,0
ENRIN,0,3223.9,0,3123.0,2979.8,nan,3005.67,0
CGPOWER,0,693.5,0,679.7,673.05,682.35,664.39,0
BSE,0,2900.7,0,2803.8,2605.9,2338.99,2711.69,0
UNITDSPR,0,1378.1,0,1401.7,1451.4,1403.3,1438.82,0
LGEINDIA,0,1654.4,0,1621.4,1552.7,nan,1581.26,0
MAXHEALTH,0,1150.7,0,1126.3,1073.0,1156.23,1082.61,0
INDIANB,0,840.0,0,818.4,773.15,664.45,790.91,0
INDHOTEL,0,708.7,0,750.0,725.25,756.96,727.99,0
JINDALSTEL,0,1064.1,0,1040.5,1011.2,970.04,1012.73,0
SWIGGY,0,419.8,0,386.2,396.25,382.75,400.6,0
APOLLOHOSP,0,7315.0,0,7216.4,7051.5,7227.9,7102.85,0
HINDPETRO,0,476.5,0,466.9,465.35,402.63,453.27,0
ASHOKLEY,0,155.4,0,159.4,167.75,125.3,161.94,0
PERSISTENT,0,6650.5,0,6475.1,6263.0,5555.56,6308.7,0
BHEL,0,296.0,0,288.5,279.35,240.33,277.74,0
MAZDOCK,0,2609.6,0,2545.4,2408.0,2839.26,2506.86,0
ICICIGI,0,2033.4,0,1999.4,1951.2,1892.48,1955.16,0
MARICO,0,747.0,0,716.6,738.8,701.48,727.47,0
LUPIN,0,2000.0,0,2034.7,2090.6,1979.73,2082.77,0
SHREECEM,0,27144.0,0,26719.3,25990.0,29314.88,26192.5,0
ICICIPRULI,0,601.9,0,616.4,637.95,610.08,630.52,0
ZYDUSLIFE,0,961.2,0,947.6,914.35,942.84,925.82,0
ABCAPITAL,0,336.6,0,345.5,348.05,260.81,355.55,0
SRF,0,2839.1,0,2898.5,3015.7,2972.22,2919.79,0
GROWW,0,130.2,0,139.7,144.25,nan,147.91,0
HAVELLS,0,1473.3,0,1447.4,1412.0,1515.87,1414.39,0
RECLTD,0,359.9,0,352.9,335.4,380.79,345.07,0
DABUR,0,520.7,0,512.6,497.2,497.17,502.6,0
NAUKRI,0,1399.4,0,1330.3,1346.9,1385.64,1368.3,0
BHARTIHEXA,0,1816.6,0,1772.4,1743.6,1699.06,1719.76,1
MANKIND,0,2252.2,0,2210.8,2106.0,2422.1,2172.5,0
POWERINDIA,0,21442.5,0,20745.8,19320.0,17709.11,19638.0,0
POLICYBZR,0,1783.7,0,1991.0,1820.5,1743.14,1900.16,0
WAAREEENER,0,3158.8,0,3068.2,2919.0,2971.64,2940.46,0
JSWENERGY,0,492.0,0,452.5,478.5,512.38,465.32,0
DIXON,0,14340.3,0,13753.5,13628.0,15524.87,13463.7,0
PAYTM,0,1264.5,0,1347.2,1281.4,1045.5,1309.48,0
MEESHO,-1,-1,-1,-1,180.29,nan,nan,0
SBICARD,0,910.5,0,892.2,847.7,881.46,867.53,0
BAJAJHFL,0,101.4,0,99.1,95.44,115.34,95.69,0
GVT&D,0,3117.1,0,2782.5,3013.0,2388.15,2913.24,0
NHPC,0,79.6,0,78.3,76.01,83.07,76.76,0
NTPCGREEN,0,94.5,0,93.1,90.27,101.98,90.91,0
LTF,0,290.4,0,297.6,300.8,213.74,303.89,0
AUBANK,0,933.1,0,953.5,980.6,743.86,967.71,0
UNOMINDA,0,1218.7,0,1289.4,1257.0,1108.8,1250.38,1
SUZLON,0,55.5,0,54.2,52.67,58.79,52.19,0
IDFCFIRSTB,0,78.2,0,80.0,83.46,70.26,81.19,0
NYKAA,0,268.4,0,261.6,247.3,217.32,252.06,0
IOB,0,38.9,0,38.1,36.57,38.99,37.16,0
PRESTIGE,0,1776.6,0,1728.7,1627.9,1530.51,1644.88,0
LENSKART,0,372.7,0,392.3,405.1,nan,407.67,0
LLOYDSME,1,1186.5,0,1226.0,1309.5,1329.26,1252.78,0
AUROPHARMA,0,1163.4,0,1217.6,1178.1,1133.93,1189.49,0
COROMANDEL,0,2197.0,0,2398.5,2314.3,2238.02,2310.07,0
OFSS,0,8473.2,0,8260.7,7828.5,8320.72,8023.5,0
BHARATFORG,0,1351.4,0,1433.5,1417.4,1222.84,1401.32,0
NMDC,0,73.2,0,74.9,77.15,70.54,76.13,0
ALKEM,0,5467.4,0,5564.7,5663.5,5189.23,5639.2,1
YESBANK,0,22.9,0,22.5,21.5,20.18,22.05,0
GICRE,0,372.2,0,390.7,377.6,383.42,380.42,0
FORTIS,0,917.6,0,897.0,875.0,829.24,872.76,1
JSL,0,741.2,0,759.9,800.1,695.14,773.8,0
INDUSINDBK,0,806.4,0,826.8,845.05,798.57,847.76,0
OIL,0,423.1,0,415.9,401.7,410.49,405.1,0
MRF,0,158986.0,0,156679.8,152655.0,141073.28,152831.5,0
RVNL,0,328.3,0,321.1,309.4,352.63,311.2,0
TORNTPOWER,0,1248.0,0,1305.3,1281.2,1361.96,1282.03,0
ATGL,0,614.8,0,604.4,586.9,625.21,589.58,0
FEDERALBNK,0,249.9,0,254.4,262.2,207.63,260.37,0
PHOENIXLTD,0,1663.0,0,1703.2,1781.0,1596.54,1746.36,0
VMM,0,139.8,0,136.1,136.0,131.18,132.97,0
BANKINDIA,0,150.8,0,147.3,139.38,118.64,140.59,0
UPL,0,719.7,0,735.3,749.9,678.76,748.48,0
BERGEPAINT,0,573.7,0,562.5,540.05,544.19,545.8,0
