rank,ticker,st_config,pct_return,total_pnl,total_trades,winning_trades,win_pct,capital_used,final_capital
227,TORNTPHARM,ST73,67.65,6765.04,7,5,71.4,10000,16765.04
228,BLUEJET,ST73,67.49,6748.6,7,3,42.9,10000,16748.6
229,CARERATING,ST73,67.39,6739.22,7,4,57.1,10000,16739.22
230,JSLL,ST72,67.39,6739.35,18,8,44.4,10000,16739.35
231,VIJAYA,ST72,67.38,6738.39,15,7,46.7,10000,16738.39
232,MRPL,ST72,67.34,6734.3,16,5,31.2,10000,16734.3
233,BAJAJ-AUTO,ST72,67.19,6719.16,17,10,58.8,10000,16719.16
234,BOSCH-HCIL,ST73,67.1,6710.42,7,4,57.1,10000,16710.42
235,AEGISLOG,ST72,67.02,6701.66,18,6,33.3,10000,16701.66
236,INOXWIND,ST72,66.88,6687.95,20,6,30.0,10000,16687.95
237,BASF,ST73,66.83,6682.66,6,3,50.0,10000,16682.66
238,SANDUMA,ST73,66.64,6664.3,9,4,44.4,10000,16664.3
239,TI,ST73,66.57,6657.28,9,5,55.6,10000,16657.28
240,EBGNG,ST73,66.55,6655.5,3,1,33.3,10000,16655.5
241,SAILIFE,ST73,66.52,6651.5,3,2,66.7,10000,16651.5
242,VIYASH,ST72,65.84,6584.46,17,7,41.2,10000,16584.46
243,NRBBEARING,ST73,65.81,6580.71,7,2,28.6,10000,16580.71
244,INDIACEM,ST72,65.49,6549.0,13,6,46.2,10000,16549.0
245,SPECTRUM,ST72,65.05,6504.85,19,8,42.1,10000,16504.85
246,SHADOWFAX,ST72,64.61,6461.2,2,1,50.0,10000,16461.2
247,SPLPETRO,ST72,64.31,6430.69,16,7,43.8,10000,16430.69
248,SGFIN,ST73,64.15,6414.75,2,1,50.0,10000,16414.75
249,PCBL,ST72,64.06,6405.8,18,10,55.6,10000,16405.8
250,HEG,ST72,64.01,6401.24,17,9,52.9,10000,16401.24
251,HSCL,ST72,63.96,6395.87,17,8,47.1,10000,16395.87
252,LLOYDSENT,ST72,63.88,6387.83,11,5,45.5,10000,16387.83
253,QUESS,ST73,63.81,6381.33,5,2,40.0,10000,16381.33
254,ENDURANCE,ST72,63.35,6334.84,12,6,50.0,10000,16334.84
255,BPCL,ST73,62.92,6292.42,9,5,55.6,10000,16292.42
256,HCLTECH,ST73,62.7,6269.81,7,5,71.4,10000,16269.81
257,MIDHANI,ST72,62.3,6230.15,14,6,42.9,10000,16230.15
258,RVNL,ST72,62.2,6220.18,18,8,44.4,10000,16220.18
259,POLYCAB,ST73,61.78,6178.03,9,5,55.6,10000,16178.03
260,IOC,ST72,61.71,6171.48,18,6,33.3,10000,16171.48
261,KIRLOSIND,ST72,61.6,6159.68,11,6,54.5,10000,16159.68
262,FEDERALBNK,ST72,61.32,6132.14,15,8,53.3,10000,16132.14
263,KENNAMET,ST73,61.07,6107.49,1,1,100.0,10000,16107.49
264,VMART,ST72,60.88,6087.9,13,6,46.2,10000,16087.9
265,ABB,ST73,60.65,6064.95,9,5,55.6,10000,16064.95
266,NEWGEN,ST72,60.56,6056.21,15,9,60.0,10000,16056.21
267,SIEMENS,ST72,60.51,6050.67,15,6,40.0,10000,16050.67
268,NUVAMA,ST73,59.54,5953.86,9,5,55.6,10000,15953.86
269,ECLERX,ST72,59.02,5902.4,16,7,43.8,10000,15902.4
270,TVSMOTOR,ST73,58.87,5887.48,7,3,42.9,10000,15887.48
271,GRAPHITE,ST73,58.75,5875.19,8,5,62.5,10000,15875.19
272,URBANCO,ST72,58.63,5862.79,3,2,66.7,10000,15862.79
273,MOTILALOFS,ST73,58.31,5830.51,10,7,70.0,10000,15830.51
274,JUBLCPL,ST73,58.08,5808.2,4,2,50.0,10000,15808.2
275,LTF,ST73,57.81,5781.25,8,5,62.5,10000,15781.25
276,HONASA,ST73,57.64,5763.69,6,3,50.0,10000,15763.69
277,AYE,ST73,57.53,5752.8,1,1,100.0,10000,15752.8
278,AUBANK,ST73,57.13,5712.88,9,6,66.7,10000,15712.88
279,KTKBANK,ST73,56.86,5686.13,8,5,62.5,10000,15686.13
280,CESC,ST73,56.02,5602.37,8,5,62.5,10000,15602.37
281,TIMEX,ST72,56.01,5600.6,2,2,100.0,10000,15600.6
282,KWIL,ST72,55.57,5557.46,3,3,100.0,10000,15557.46
283,STYRENIX,ST73,55.08,5507.86,7,3,42.9,10000,15507.86
284,UNOMINDA,ST72,54.95,5495.29,18,7,38.9,10000,15495.29
285,SOBHA,ST72,54.81,5481.01,15,7,46.7,10000,15481.01
286,TMB,ST73,54.59,5459.15,7,4,57.1,10000,15459.15
