rank,ticker,st_config,capital_used,total_pnl,pct_return,total_trades,winning_trades,win_pct,final_capital
319,CUB,ST72,10000,4711.89,47.12,17,8,47.1,14711.89
320,AETHER,ST72,10000,4656.4,46.56,12,7,58.3,14656.4
321,INTELLECT,ST72,10000,4635.61,46.36,13,7,53.8,14635.61
322,SBCL,ST73,10000,4632.13,46.32,9,2,22.2,14632.13
323,SUPRIYA,ST72,10000,4617.23,46.17,17,8,47.1,14617.23
324,UFLEX,ST73,10000,4607.38,46.07,9,4,44.4,14607.38
325,VESUVIUS,ST72,10000,4540.87,45.41,13,6,46.2,14540.87
326,GUJALKALI,ST72,10000,4533.33,45.33,14,6,42.9,14533.33
327,SEAMECLTD,ST73,10000,4527.87,45.28,6,3,50.0,14527.87
328,RAIN,ST73,10000,4503.56,45.04,9,5,55.6,14503.56
329,KPIGREEN,ST72,10000,4502.43,45.02,21,8,38.1,14502.43
330,TIMETECHNO,ST73,10000,4500.66,45.01,8,3,37.5,14500.66
331,EXIDEIND,ST73,10000,4458.16,44.58,9,3,33.3,14458.16
332,BLUESTONE,ST73,10000,4393.0,43.93,3,1,33.3,14393.0
333,CGPOWER,ST73,10000,4321.5,43.21,9,5,55.6,14321.5
334,NITINSPIN,ST73,10000,4265.56,42.66,8,4,50.0,14265.56
335,KINGFA,ST73,10000,4249.0,42.49,8,5,62.5,14249.0
336,INDIANB,ST73,10000,4203.27,42.03,8,4,50.0,14203.27
337,SKIPPER,ST73,10000,4195.21,41.95,10,3,30.0,14195.21
338,IPCALAB,ST72,10000,4176.85,41.77,15,8,53.3,14176.85
339,ANANTRAJ,ST72,10000,4176.94,41.77,20,8,40.0,14176.94
340,TECHM,ST72,10000,4140.78,41.41,15,6,40.0,14140.78
341,TEJASNET,ST73,10000,4134.79,41.35,9,3,33.3,14134.79
342,ADANIGREEN,ST72,10000,4134.9,41.35,17,5,29.4,14134.9
343,JMFINANCIL,ST72,10000,4083.2,40.83,17,6,35.3,14083.2
344,LODHA,ST72,10000,4065.18,40.65,20,8,40.0,14065.18
345,CARBORUNIV,ST73,10000,4053.17,40.53,6,2,33.3,14053.17
346,SUNDRMFAST,ST73,10000,4046.47,40.46,5,3,60.0,14046.47
347,EDELWEISS,ST72,10000,4030.67,40.31,18,9,50.0,14030.67
348,BLUESTARCO,ST72,10000,4024.61,40.25,19,11,57.9,14024.61
349,MUTHOOTFIN,ST72,10000,3994.06,39.94,18,9,50.0,13994.06
350,DHANUKA,ST72,10000,3991.33,39.91,13,5,38.5,13991.33
351,NAUKRI,ST72,10000,3985.87,39.86,16,6,37.5,13985.87
352,WHIRLPOOL,ST72,10000,3985.65,39.86,14,7,50.0,13985.65
353,RAINBOW,ST73,10000,3977.71,39.78,5,4,80.0,13977.71
354,KSCL,ST72,10000,3953.01,39.53,14,4,28.6,13953.01
355,TATACONSUM,ST72,10000,3951.45,39.51,10,6,60.0,13951.45
356,INDHOTEL,ST73,10000,3949.06,39.49,9,4,44.4,13949.06
357,SUNPHARMA,ST72,10000,3914.77,39.15,15,7,46.7,13914.77
358,ESABINDIA,ST73,10000,3906.46,39.06,7,6,85.7,13906.46
359,IDFCFIRSTB,ST73,10000,3902.39,39.02,7,3,42.9,13902.39
360,SHRIPISTON,ST72,10000,3868.09,38.68,18,7,38.9,13868.09
361,MANAPPURAM,ST72,10000,3867.92,38.68,17,8,47.1,13867.92
362,VBL,ST72,10000,3861.22,38.61,14,7,50.0,13861.22
363,BAJAJCON,ST73,10000,3801.5,38.02,11,4,36.4,13801.5
364,ASHOKLEY,ST73,10000,3799.89,38.0,11,4,36.4,13799.89
365,CHENNPETRO,ST73,10000,3792.07,37.92,9,4,44.4,13792.07
