rank,ticker,st_config,pct_return,total_pnl,total_trades,winning_trades,win_pct,capital_used,final_capital
220,FILATEX,ST73,71.51,7150.83,9,5,55.6,10000,17150.83
221,TITAGARH,ST72,71.46,7145.85,16,10,62.5,10000,17145.85
222,GODREJIND,ST72,71.37,7137.25,16,10,62.5,10000,17137.25
223,INDUSTOWER,ST73,71.21,7120.76,7,4,57.1,10000,17120.76
224,ACMESOLAR,ST73,70.81,7081.05,4,2,50.0,10000,17081.05
225,ASKAUTOLTD,ST73,70.55,7055.18,7,3,42.9,10000,17055.18
226,BEL,ST72,70.36,7036.46,20,12,60.0,10000,17036.46
227,ETHOSLTD,ST72,70.1,7009.77,15,7,46.7,10000,17009.77
228,TORNTPHARM,ST73,69.84,6984.04,7,5,71.4,10000,16984.04
229,NEULANDLAB,ST72,69.7,6969.73,11,4,36.4,10000,16969.73
230,BLUEJET,ST73,69.08,6908.1,7,3,42.9,10000,16908.1
231,ABCAPITAL,ST73,68.84,6883.96,8,4,50.0,10000,16883.96
232,SHRIRAMFIN,ST73,68.45,6845.31,11,6,54.5,10000,16845.31
233,VIJAYA,ST72,68.01,6801.09,15,7,46.7,10000,16801.09
234,SUDEEPPHRM,ST72,67.6,6760.31,4,2,50.0,10000,16760.31
235,AEGISLOG,ST72,67.02,6701.66,18,6,33.3,10000,16701.66
236,CARERATING,ST73,66.17,6616.82,7,4,57.1,10000,16616.82
237,ANGELONE,ST72,66.08,6607.84,20,7,35.0,10000,16607.84
238,BAJAJ-AUTO,ST72,66.0,6600.16,17,10,58.8,10000,16600.16
239,PERSISTENT,ST72,65.53,6552.51,18,9,50.0,10000,16552.51
240,INDIACEM,ST72,65.49,6549.0,13,6,46.2,10000,16549.0
241,TI,ST73,65.27,6527.08,9,5,55.6,10000,16527.08
242,SGFIN,ST73,64.89,6489.15,2,1,50.0,10000,16489.15
243,EPIGRAL,ST72,64.75,6474.8,13,8,61.5,10000,16474.8
244,SHADOWFAX,ST72,64.61,6461.2,2,1,50.0,10000,16461.2
245,SANDUMA,ST73,64.41,6440.86,9,4,44.4,10000,16440.86
246,HSCL,ST72,63.96,6395.87,17,8,47.1,10000,16395.87
247,QUESS,ST73,63.93,6392.83,5,2,40.0,10000,16392.83
248,LLOYDSENT,ST72,63.88,6387.83,11,5,45.5,10000,16387.83
249,EIDPARRY,ST73,63.8,6379.95,7,3,42.9,10000,16379.95
250,PRABHA,ST72,63.8,6380.16,5,2,40.0,10000,16380.16
251,BOSCH-HCIL,ST73,63.64,6363.92,7,4,57.1,10000,16363.92
252,VIYASH,ST72,63.4,6339.56,17,7,41.2,10000,16339.56
253,DEEPINDS,ST73,63.38,6338.01,8,3,37.5,10000,16338.01
254,ENDURANCE,ST72,63.35,6334.84,12,6,50.0,10000,16334.84
255,KENNAMET,ST73,62.82,6282.09,1,1,100.0,10000,16282.09
256,WELENT,ST73,62.47,6246.55,10,4,40.0,10000,16246.55
257,RVNL,ST72,62.2,6220.18,18,8,44.4,10000,16220.18
258,BASF,ST73,62.07,6207.06,6,3,50.0,10000,16207.06
259,POLYCAB,ST73,61.78,6178.03,9,5,55.6,10000,16178.03
260,IOC,ST72,61.71,6171.48,18,6,33.3,10000,16171.48
261,KIRLOSIND,ST72,61.6,6159.68,11,6,54.5,10000,16159.68
262,FEDERALBNK,ST72,61.32,6132.14,15,8,53.3,10000,16132.14
263,ABB,ST73,60.48,6047.95,9,5,55.6,10000,16047.95
264,ECLERX,ST72,60.38,6037.59,16,7,43.8,10000,16037.59
265,VMART,ST72,60.31,6030.9,13,6,46.2,10000,16030.9
266,RML,ST72,59.8,5979.84,15,7,46.7,10000,15979.84
267,AEQUS,ST73,59.74,5974.02,1,1,100.0,10000,15974.02
268,SIEMENS,ST72,59.39,5939.07,15,6,40.0,10000,15939.07
269,TVSMOTOR,ST73,58.87,5887.48,7,3,42.9,10000,15887.48
270,TCPLPACK,ST72,58.83,5882.68,12,5,41.7,10000,15882.68
271,LALPATHLAB,ST73,57.83,5782.79,8,4,50.0,10000,15782.79
272,MIDHANI,ST72,57.81,5781.36,15,6,40.0,10000,15781.36
273,LTF,ST73,57.81,5781.25,8,5,62.5,10000,15781.25
274,HONASA,ST73,57.64,5763.69,6,3,50.0,10000,15763.69
275,NEWGEN,ST72,56.98,5697.71,15,9,60.0,10000,15697.71
276,BPCL,ST73,56.88,5688.08,9,4,44.4,10000,15688.08
277,NUVAMA,ST73,56.79,5679.46,9,5,55.6,10000,15679.46
278,MOTILALOFS,ST73,56.51,5650.51,10,7,70.0,10000,15650.51
279,AUBANK,ST73,56.5,5649.87,9,6,66.7,10000,15649.87
280,SUPRIYA,ST72,56.13,5612.58,17,8,47.1,10000,15612.58
281,CESC,ST73,56.02,5602.37,8,5,62.5,10000,15602.37
282,JUBLCPL,ST73,55.88,5587.7,4,2,50.0,10000,15587.7
